codigo,nome,turno,dtInicioVigencia,dtFimVigencia,anoLetivo,codigoTipoEnsino,nomeTipoEnsino,codigoEscola,nomeEscola,codigoSituacaoTurma,situacao,alunosMatriculados,vagasDisponiveis,capacidadeMaxima,codigoOferta,nrSerie,codigoSerie,nmSerie,nrVagasReservadas,flgTurmaDefinitiva,dataTurmaDefinitiva,nmMatriz,nmPeriodo,dtInicioAnoLetivo,dtFimAnoLetivo,idMatriz,cdAtendimento,codigoAtendimento
5031444,1ª Série - A (M),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031445,1ª Série - B (M),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031446,1ª Série - C (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031447,1ª Série - D (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031448,1ª Série - E (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031449,1ª Série - F (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031450,1ª Série - G (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031451,1ª Série - H (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031452,1ª Série - I (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031453,1ª Série - J (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031454,1ª Série - K (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031455,1ª Série - L (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
5031456,1ª Série - M (V),,0001-01-01T00:00:00,0001-01-01T00:00:00,0,0,,0,,0,,0,0,0,0,0,0,,0,0,0001-01-01T00:00:00,,,,,0,0,0
